repeat.thisRepN,repeat.thisTrialN,repeat.thisN,repeat.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,Bienvenida.started,Bienvenida.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,feedback_text.started,feedback_text.stopped,text.started,text.stopped,si.keys,si.rt,si.started,si.stopped,no.keys,no.started,no.stopped,no.rt,Adios.started,Adios.stopped,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,9.46636269998271,None,12.427774999989197,None,space,1.7224183000507765,12.427774999989197,None,,,,,,,,,,,,,,,juu,2022_Oct_12_1943,BananaMonkey,3.2.3,59.920964260186814,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,juu,2022_Oct_12_1943,BananaMonkey,3.2.3,59.920964260186814,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,juu,2022_Oct_12_1943,BananaMonkey,3.2.3,59.920964260186814,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,juu,2022_Oct_12_1943,BananaMonkey,3.2.3,59.920964260186814,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,juu,2022_Oct_12_1943,BananaMonkey,3.2.3,59.920964260186814,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,juu,2022_Oct_12_1943,BananaMonkey,3.2.3,59.920964260186814,
0,0,0,0,,,,,,,,,,,,,25.298678199993446,None,30.279512499982957,None,s,3.415062099986244,30.279512499982957,None,None,30.279512499982957,None,,,,juu,2022_Oct_12_1943,BananaMonkey,3.2.3,59.920964260186814,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,juu,2022_Oct_12_1943,BananaMonkey,3.2.3,59.920964260186814,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,juu,2022_Oct_12_1943,BananaMonkey,3.2.3,59.920964260186814,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,juu,2022_Oct_12_1943,BananaMonkey,3.2.3,59.920964260186814,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,juu,2022_Oct_12_1943,BananaMonkey,3.2.3,59.920964260186814,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,juu,2022_Oct_12_1943,BananaMonkey,3.2.3,59.920964260186814,
1,0,1,0,,,,,,,,,,,,,41.20833589998074,None,46.21174139995128,None,None,,46.21174139995128,None,n,46.21174139995128,None,2.8263027999782935,,,juu,2022_Oct_12_1943,BananaMonkey,3.2.3,59.920964260186814,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.069876399997156,None,,,,,,
