repeat.thisRepN,repeat.thisTrialN,repeat.thisN,repeat.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,Bienvenida.started,Bienvenida.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,feedback_text.started,feedback_text.stopped,level_up_sound.started,level_up_sound.stopped,text.started,text.stopped,si.keys,si.started,si.stopped,no.keys,no.rt,no.started,no.stopped,Adios.started,Adios.stopped,mean_speed,max_speed,number_trials,number_trials_correct,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,10.189044900005683,None,13.14840299997013,None,space,1.6365357000031509,13.14840299997013,None,,,,,,,,,,,,,,,,,,,,esterita,2022_Oct_12_2022,BananaMonkey,3.2.3,59.97285629498979,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,esterita,2022_Oct_12_2022,BananaMonkey,3.2.3,59.97285629498979,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,esterita,2022_Oct_12_2022,BananaMonkey,3.2.3,59.97285629498979,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,esterita,2022_Oct_12_2022,BananaMonkey,3.2.3,59.97285629498979,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,esterita,2022_Oct_12_2022,BananaMonkey,3.2.3,59.97285629498979,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,esterita,2022_Oct_12_2022,BananaMonkey,3.2.3,59.97285629498979,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,esterita,2022_Oct_12_2022,BananaMonkey,3.2.3,59.97285629498979,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,esterita,2022_Oct_12_2022,BananaMonkey,3.2.3,59.97285629498979,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,esterita,2022_Oct_12_2022,BananaMonkey,3.2.3,59.97285629498979,
0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,esterita,2022_Oct_12_2022,BananaMonkey,3.2.3,59.97285629498979,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,esterita,2022_Oct_12_2022,BananaMonkey,3.2.3,59.97285629498979,
0,0,0,0,,,,,,,,,,,,,33.393490199989174,None,33.38625276000239,None,38.39035070000682,None,None,38.39035070000682,None,n,1.2479133000015281,38.39035070000682,None,,,,,,,esterita,2022_Oct_12_2022,BananaMonkey,3.2.3,59.97285629498979,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6589718000032,None,0.031249999999999993,0.0425,10,10,,,,,,
