repeat.thisRepN,repeat.thisTrialN,repeat.thisN,repeat.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,Bienvenida.started,Bienvenida.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,feedback_text.started,feedback_text.stopped,level_up_sound.started,level_up_sound.stopped,text.started,text.stopped,si.keys,si.rt,si.started,si.stopped,no.keys,no.started,no.stopped,no.rt,Adios.started,Adios.stopped,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,8.86823150003329,None,11.829035100003239,None,space,3.9022418000386097,11.829035100003239,None,,,,,,,,,,,,,,,,,hh,2022_Oct_12_2013,BananaMonkey,3.2.3,60.21027836516405,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,hh,2022_Oct_12_2013,BananaMonkey,3.2.3,60.21027836516405,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,hh,2022_Oct_12_2013,BananaMonkey,3.2.3,60.21027836516405,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,hh,2022_Oct_12_2013,BananaMonkey,3.2.3,60.21027836516405,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,hh,2022_Oct_12_2013,BananaMonkey,3.2.3,60.21027836516405,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,hh,2022_Oct_12_2013,BananaMonkey,3.2.3,60.21027836516405,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,hh,2022_Oct_12_2013,BananaMonkey,3.2.3,60.21027836516405,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,hh,2022_Oct_12_2013,BananaMonkey,3.2.3,60.21027836516405,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,hh,2022_Oct_12_2013,BananaMonkey,3.2.3,60.21027836516405,
0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,hh,2022_Oct_12_2013,BananaMonkey,3.2.3,60.21027836516405,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,hh,2022_Oct_12_2013,BananaMonkey,3.2.3,60.21027836516405,
0,0,0,0,,,,,,,,,,,,,34.343667300010566,None,35.31947889000876,39.32296130002942,39.340612500032876,None,s,1.9740985999815166,39.340612500032876,None,None,39.340612500032876,None,,,,hh,2022_Oct_12_2013,BananaMonkey,3.2.3,60.21027836516405,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,hh,2022_Oct_12_2013,BananaMonkey,3.2.3,60.21027836516405,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,hh,2022_Oct_12_2013,BananaMonkey,3.2.3,60.21027836516405,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,hh,2022_Oct_12_2013,BananaMonkey,3.2.3,60.21027836516405,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,hh,2022_Oct_12_2013,BananaMonkey,3.2.3,60.21027836516405,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,hh,2022_Oct_12_2013,BananaMonkey,3.2.3,60.21027836516405,
1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,hh,2022_Oct_12_2013,BananaMonkey,3.2.3,60.21027836516405,
1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,hh,2022_Oct_12_2013,BananaMonkey,3.2.3,60.21027836516405,
1,0,1,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,hh,2022_Oct_12_2013,BananaMonkey,3.2.3,60.21027836516405,
1,0,1,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,hh,2022_Oct_12_2013,BananaMonkey,3.2.3,60.21027836516405,
1,0,1,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,hh,2022_Oct_12_2013,BananaMonkey,3.2.3,60.21027836516405,
1,0,1,0,,,,,,,,,,,,,52.176411400025245,None,53.15386569001712,57.157758600020315,57.17438470001798,None,None,,57.17438470001798,None,n,57.17438470001798,None,1.5380628999555483,,,hh,2022_Oct_12_2013,BananaMonkey,3.2.3,60.21027836516405,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.74243089999072,None,,,,,,
