repeat.thisRepN,repeat.thisTrialN,repeat.thisN,repeat.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,monkey_sound.started,monkey_sound.stopped,Bienvenida.started,Bienvenida.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,logo_OB_intro.started,logo_OB_intro.stopped,feedback_text.started,feedback_text.stopped,level_up_sound.started,level_up_sound.stopped,velo.started,velo.stopped,text.started,text.stopped,si.keys,si.rt,si.started,si.stopped,no.keys,no.started,no.stopped,no.rt,Adios.started,Adios.stopped,logo_ob_fin.started,logo_ob_fin.stopped,mean_speed,max_speed,number_trials,number_trials_correct,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,11.49121050001122,None,11.426524360157782,14.433217700017849,14.47633279999718,None,space,20.92503320000833,14.47633279999718,None,,,,,,,,,,,,,,,,,,,,,,,,,,,ju,2022_Oct_15_1253,BananaMonkey,3.2.3,60.023361088339854,
0,0,0,0,0,0,0,0,,,,,,,,,,,14.47633279999718,None,,,,,,,,,,,,,,,,,,,,,,,,,ju,2022_Oct_15_1253,BananaMonkey,3.2.3,60.023361088339854,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ju,2022_Oct_15_1253,BananaMonkey,3.2.3,60.023361088339854,
0,0,0,0,,,,,,,,,,,,,,,,,40.53800649999175,None,40.50903396001668,43.511121799994726,40.53800649999175,None,43.52812730000005,None,s,1.2814410999999382,43.52812730000005,None,None,43.52812730000005,None,,,,,,,,,,ju,2022_Oct_15_1253,BananaMonkey,3.2.3,60.023361088339854,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ju,2022_Oct_15_1253,BananaMonkey,3.2.3,60.023361088339854,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ju,2022_Oct_15_1253,BananaMonkey,3.2.3,60.023361088339854,
1,0,1,0,,,,,,,,,,,,,,,,,49.01968009999837,None,49.002767460001635,52.0031222999969,49.01968009999837,None,52.01978110001073,None,s,1.2215732000186108,52.01978110001073,None,None,52.01978110001073,None,,,,,,,,,,ju,2022_Oct_15_1253,BananaMonkey,3.2.3,60.023361088339854,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ju,2022_Oct_15_1253,BananaMonkey,3.2.3,60.023361088339854,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ju,2022_Oct_15_1253,BananaMonkey,3.2.3,60.023361088339854,
2,0,2,0,,,,,,,,,,,,,,,,,63.36122270001215,None,63.34869016001467,66.3509514000034,63.36122270001215,None,66.36773830000311,None,None,,66.36773830000311,None,n,66.36773830000311,None,0.6632919999829028,,,,,,,,,ju,2022_Oct_15_1253,BananaMonkey,3.2.3,60.023361088339854,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0815715000208,None,67.0815715000208,None,0.019999999999999997,0.027499999999999997,6,4,,,,,,
