repeat.thisRepN,repeat.thisTrialN,repeat.thisN,repeat.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,monkey_sound.started,monkey_sound.stopped,Bienvenida.started,Bienvenida.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,feedback_text.started,feedback_text.stopped,level_up_sound.started,level_up_sound.stopped,velo.started,velo.stopped,text.started,text.stopped,si.keys,si.started,si.stopped,no.keys,no.rt,no.started,no.stopped,Adios.started,Adios.stopped,mean_speed,max_speed,number_trials,number_trials_correct,Participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,20.581854299999577,None,20.441234399998393,None,23.46700239999973,None,space,1.9514311000002635,23.46700239999973,None,,,,,,,,,,,,,,,,,,,,,,nvbn,2022_Oct_13_1756,BananaMonkey,3.2.3,60.02649569528177,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nvbn,2022_Oct_13_1756,BananaMonkey,3.2.3,60.02649569528177,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nvbn,2022_Oct_13_1756,BananaMonkey,3.2.3,60.02649569528177,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nvbn,2022_Oct_13_1756,BananaMonkey,3.2.3,60.02649569528177,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nvbn,2022_Oct_13_1756,BananaMonkey,3.2.3,60.02649569528177,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nvbn,2022_Oct_13_1756,BananaMonkey,3.2.3,60.02649569528177,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nvbn,2022_Oct_13_1756,BananaMonkey,3.2.3,60.02649569528177,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nvbn,2022_Oct_13_1756,BananaMonkey,3.2.3,60.02649569528177,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nvbn,2022_Oct_13_1756,BananaMonkey,3.2.3,60.02649569528177,
0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nvbn,2022_Oct_13_1756,BananaMonkey,3.2.3,60.02649569528177,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nvbn,2022_Oct_13_1756,BananaMonkey,3.2.3,60.02649569528177,
0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nvbn,2022_Oct_13_1756,BananaMonkey,3.2.3,60.02649569528177,
0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nvbn,2022_Oct_13_1756,BananaMonkey,3.2.3,60.02649569528177,
0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nvbn,2022_Oct_13_1756,BananaMonkey,3.2.3,60.02649569528177,
0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nvbn,2022_Oct_13_1756,BananaMonkey,3.2.3,60.02649569528177,
0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nvbn,2022_Oct_13_1756,BananaMonkey,3.2.3,60.02649569528177,
0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nvbn,2022_Oct_13_1756,BananaMonkey,3.2.3,60.02649569528177,
0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nvbn,2022_Oct_13_1756,BananaMonkey,3.2.3,60.02649569528177,
0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nvbn,2022_Oct_13_1756,BananaMonkey,3.2.3,60.02649569528177,
0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nvbn,2022_Oct_13_1756,BananaMonkey,3.2.3,60.02649569528177,
0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nvbn,2022_Oct_13_1756,BananaMonkey,3.2.3,60.02649569528177,
0,0,0,0,,,,,,,,,,,,,,,56.11239669999941,None,56.012477719999154,None,56.11239669999941,None,59.038078999999925,None,None,59.038078999999925,None,n,2.00015059999987,59.038078999999925,None,,,,,,,nvbn,2022_Oct_13_1756,BananaMonkey,3.2.3,60.02649569528177,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.06297279999944,None,0.03937500000000001,0.05250000000000002,20,18,,,,,,
