imagen1,imagen2,hm1,cp1,ai1,pa1,vr1,cl1,hm2,cp2,ai2,pa2,vr2,cl2
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\1.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\2.png,0,-1,1,0,1,0,0,1,-1,0,-1,0
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\3.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\4.png,0,-1,1,0,-1,0,0,1,-1,0,1,0
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\5.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\6.png,0,1,1,0,-1,0,0,-1,-1,0,1,0
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\7.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\8.png,0,1,1,0,1,0,0,-1,-1,0,-1,0
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\9.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\10.png,0,-1,1,0,1,0,0,1,-1,0,-1,0
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\11.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\12.png,0,-1,1,0,-1,0,0,1,-1,0,1,0
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\13.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\14.png,0,1,1,0,-1,0,0,-1,-1,0,1,0
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\15.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\16.png,0,1,1,0,1,0,0,-1,-1,0,-1,0
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\17.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\18.png,-1,-1,1,0,1,0,1,1,-1,0,-1,0
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\19.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\20.png,-1,-1,1,0,-1,0,1,1,-1,0,1,0
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\21.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\22.png,1,1,1,0,-1,0,-1,-1,-1,0,1,0
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\23.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\24.png,1,1,1,0,1,0,-1,-1,-1,0,-1,0
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\25.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\26.png,1,-1,1,0,1,0,-1,1,-1,0,-1,0
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\27.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\28.png,1,-1,1,0,-1,0,-1,1,-1,0,1,0
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\29.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\30.png,-1,1,1,0,-1,0,1,-1,-1,0,1,0
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\31.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\32.png,-1,1,1,0,1,0,1,-1,-1,0,-1,0
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\33.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\34.png,0,-1,1,0,1,0,0,1,-1,0,-1,0
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\35.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\36.png,0,-1,1,0,-1,0,0,1,-1,0,1,0
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\37.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\38.png,0,1,1,0,-1,0,0,-1,-1,0,1,0
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\39.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\40.png,0,1,1,0,1,0,0,-1,-1,0,-1,0
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\41.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\42.png,0,-1,1,-1,1,0,0,1,-1,1,-1,0
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\43.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\44.png,0,-1,1,-1,-1,0,0,1,-1,1,1,0
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\45.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\46.png,0,1,1,1,-1,0,0,-1,-1,-1,1,0
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\47.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\48.png,0,1,1,1,1,0,0,-1,-1,-1,-1,0
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\49.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\50.png,0,-1,1,1,1,0,0,1,-1,-1,-1,0
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\51.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\52.png,0,-1,1,1,-1,0,0,1,-1,-1,1,0
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\53.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\54.png,0,1,1,-1,-1,0,0,-1,-1,1,1,0
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\55.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\56.png,0,1,1,-1,1,0,0,-1,-1,1,-1,0
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\57.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\58.png,0,-1,1,0,1,0,0,1,-1,0,-1,0
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\59.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\60.png,0,-1,1,0,-1,0,0,1,-1,0,1,0
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\61.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\62.png,0,1,1,0,-1,0,0,-1,-1,0,1,0
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\63.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\64.png,0,1,1,0,1,0,0,-1,-1,0,-1,0
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\65.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\66.png,0,-1,1,0,1,-1,0,1,-1,0,-1,1
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\67.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\68.png,0,-1,1,0,-1,-1,0,1,-1,0,1,1
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\69.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\70.png,0,1,1,0,-1,1,0,-1,-1,0,1,-1
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\71.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\72.png,0,1,1,0,1,1,0,-1,-1,0,-1,-1
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\73.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\74.png,0,-1,1,0,1,1,0,1,-1,0,-1,-1
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\75.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\76.png,0,-1,1,0,-1,1,0,1,-1,0,1,-1
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\77.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\78.png,0,1,1,0,-1,-1,0,-1,-1,0,1,1
C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\79.png,C:\Users\david\OneDrive\Documentos\GitHub\OpenBrains\coche_autonomo\pngs\80.png,0,1,1,0,1,-1,0,-1,-1,0,-1,1
